consultante_provincia,ym,total,positivos,tasa
santa fe,2020-11-01,2,0,0.0
santa fe,2021-02-01,1,1,1.0
santa fe,2021-03-01,2,2,1.0
santa fe,2021-07-01,2,2,1.0
santa fe,2021-08-01,2,1,0.5
santa fe,2021-09-01,2,1,0.5
santa fe,2021-10-01,2,1,0.5
santa fe,2021-11-01,1,1,1.0
santa fe,2021-12-01,2,1,0.5
santa fe,2022-01-01,2,2,1.0
santa fe,2022-02-01,2,1,0.5
santa fe,2022-03-01,5,3,0.6
santa fe,2022-04-01,1,1,1.0
santa fe,2022-05-01,2,0,0.0
santa fe,2022-06-01,3,1,0.3333333333333333
santa fe,2022-07-01,1,1,1.0
santa fe,2022-08-01,6,3,0.5
santa fe,2022-09-01,2,1,0.5
santa fe,2022-10-01,1,0,0.0
santa fe,2022-11-01,1,1,1.0
santa fe,2022-12-01,2,1,0.5
santa fe,2023-01-01,2,1,0.5
santa fe,2023-02-01,2,2,1.0
santa fe,2023-03-01,2,1,0.5
santa fe,2023-04-01,1,0,0.0
santa fe,2023-06-01,3,2,0.6666666666666666
santa fe,2023-07-01,4,3,0.75
santa fe,2023-09-01,4,3,0.75
santa fe,2023-10-01,1,0,0.0
santa fe,2023-11-01,1,0,0.0
santa fe,2023-12-01,1,1,1.0
santa fe,2024-01-01,1,1,1.0
santa fe,2024-02-01,1,1,1.0
santa fe,2024-03-01,2,2,1.0
santa fe,2024-04-01,2,1,0.5
santa fe,2024-05-01,4,3,0.75
santa fe,2024-06-01,1,1,1.0
santa fe,2024-07-01,3,1,0.3333333333333333
santa fe,2024-08-01,5,1,0.2
santa fe,2024-09-01,2,2,1.0
santa fe,2024-10-01,1,1,1.0
santa fe,2024-11-01,4,4,1.0
santa fe,2024-12-01,3,2,0.6666666666666666
santiago del estero,2020-01-01,1,0,0.0
santiago del estero,2020-05-01,1,1,1.0
santiago del estero,2020-10-01,1,1,1.0
santiago del estero,2021-02-01,2,2,1.0
santiago del estero,2021-06-01,1,1,1.0
santiago del estero,2022-01-01,2,1,0.5
santiago del estero,2022-02-01,1,1,1.0
santiago del estero,2022-03-01,1,0,0.0
santiago del estero,2022-04-01,1,0,0.0
santiago del estero,2022-06-01,1,1,1.0
santiago del estero,2022-08-01,1,1,1.0
santiago del estero,2022-09-01,2,1,0.5
santiago del estero,2022-11-01,1,0,0.0
santiago del estero,2022-12-01,2,1,0.5
santiago del estero,2023-03-01,2,2,1.0
santiago del estero,2023-09-01,1,0,0.0
santiago del estero,2024-05-01,1,0,0.0
santiago del estero,2024-06-01,2,2,1.0
santiago del estero,2024-08-01,1,1,1.0
santiago del estero,2024-09-01,1,1,1.0
santiago del estero,2024-12-01,1,0,0.0
tucumn,2020-03-01,1,1,1.0
tucumn,2020-05-01,1,1,1.0
tucumn,2020-09-01,1,0,0.0
tucumn,2020-10-01,1,1,1.0
tucumn,2021-01-01,2,2,1.0
tucumn,2022-01-01,1,0,0.0
tucumn,2022-02-01,1,1,1.0
tucumn,2022-03-01,1,0,0.0
tucumn,2022-04-01,1,0,0.0
tucumn,2022-06-01,2,1,0.5
tucumn,2022-08-01,2,1,0.5
tucumn,2022-10-01,1,1,1.0
tucumn,2022-11-01,1,0,0.0
tucumn,2022-12-01,4,3,0.75
tucumn,2023-01-01,2,1,0.5
tucumn,2023-02-01,3,0,0.0
tucumn,2023-03-01,3,2,0.6666666666666666
tucumn,2023-04-01,1,0,0.0
