feature,coef,coef_abs,signo
cat__localidad_La Boca,0.13996973765980372,0.13996973765980372,+
cat__consultante_provincia_misiones,-0.13779969328044728,0.13779969328044728,-
cat__localidad_Las Heras,-0.13770117048341343,0.13770117048341343,-
cat__consultante_localidad_san fernando del valle de catamarca,-0.13658760831056,0.13658760831056,-
cat__consultante_localidad_capital,0.13566037660731695,0.13566037660731695,+
cat__consultante_localidad_jos c. paz,-0.1356140995935504,0.1356140995935504,-
cat__consultante_como_conocio_la_linea_no se llegó a hacer una entrevista,0.13495192501303283,0.13495192501303283,+
cat__localidad_Mendoza,0.13479568893304342,0.13479568893304342,+
cat__localidad_Laguna Paiva,0.1345836680027625,0.1345836680027625,+
num__trimestre,-0.13450990490620865,0.13450990490620865,-
cat__localidad_San Carlos,-0.1334044293872848,0.1334044293872848,-
"cat__consultante_localidad_capitn sarmiento, buenos aires",-0.13299798899790585,0.13299798899790585,-
cat__provincia_Tierra del Fuego,0.13293070448216482,0.13293070448216482,+
cat__localidad_Paso de los Libres,0.13196346170453305,0.13196346170453305,+
cat__consultante_localidad_san martn,0.13187194455683485,0.13187194455683485,+
cat__consultante_localidad_berazategui,-0.13182097912530044,0.13182097912530044,-
num__mes_cos,0.1317407137977861,0.1317407137977861,+
cat__localidad_Balnearia,-0.1311681692188674,0.1311681692188674,-
cat__consultante_localidad_campo gallo,-0.1309068767195649,0.1309068767195649,-
cat__dependencia_alta_Otra,0.13086997572021514,0.13086997572021514,+
cat__via_ingreso_telefono institucional,0.13086997572021514,0.13086997572021514,+
cat__consultante_localidad_maip,-0.13072869495380382,0.13072869495380382,-
cat__dependencia_alta_PNR,-0.13072869495380382,0.13072869495380382,-
cat__localidad_Gandara,-0.13059238259250863,0.13059238259250863,-
cat__consultante_localidad_gandara,-0.13059238259250863,0.13059238259250863,-
cat__consultante_localidad_santa fe de la vera cruz,0.12972157150054192,0.12972157150054192,+
cat__provincia_Ciudad Autónoma de Buenos Aires,0.12952311709618566,0.12952311709618566,+
cat__consultante_nacionalidad_bolivia,0.12906162699953885,0.12906162699953885,+
cat__consultante_localidad_zarate,0.1286234580084064,0.1286234580084064,+
cat__consultante_localidad_merlo,0.12847519014886766,0.12847519014886766,+
cat__consultante_localidad_mercedes,-0.1281895148467631,0.1281895148467631,-
cat__consultante_localidad_rafael castillo,0.12807063400235044,0.12807063400235044,+
cat__localidad_Rafael Castillo,0.12807063400235044,0.12807063400235044,+
