feature,coef,coef_abs,signo
cat__consultante_localidad_gualeguaych,0.10040896157568942,0.10040896157568942,+
cat__consultante_localidad_las heras,-0.10011161882006851,0.10011161882006851,-
cat__consultante_localidad_tucumn,-0.09937069469213002,0.09937069469213002,-
cat__consultante_localidad_ayacucho,0.09910126728738979,0.09910126728738979,+
cat__consultante_localidad_cipolletti,-0.09819821547748815,0.09819821547748815,-
cat__localidad_Oberá,-0.09789562038483371,0.09789562038483371,-
cat__localidad_Pehuajó,-0.0976870921441856,0.0976870921441856,-
cat__localidad_Malvinas argentinas,-0.09708158839159217,0.09708158839159217,-
cat__consultante_localidad_tandil,0.09629051460782252,0.09629051460782252,+
cat__localidad_Once,-0.09619602257493426,0.09619602257493426,-
cat__localidad_Anderson,-0.09606917498607706,0.09606917498607706,-
cat__consultante_localidad_burzaco,0.09587641985829476,0.09587641985829476,+
cat__localidad_General Gelly,-0.0951151553075065,0.0951151553075065,-
cat__via_ingreso_celular,0.09388832849524989,0.09388832849524989,+
cat__localidad_La Cumbre,-0.09369633467121076,0.09369633467121076,-
cat__consultante_provincia_entre ros,0.09362631695936822,0.09362631695936822,+
cat__localidad_Gregorio de Laferrere,0.09298517165247625,0.09298517165247625,+
cat__localidad_La Tablada,-0.09273003836838298,0.09273003836838298,-
cat__localidad_Becar,-0.09267603529054269,0.09267603529054269,-
cat__localidad_Glew,0.09259048152885278,0.09259048152885278,+
cat__consultante_localidad_glew,0.09259048152885278,0.09259048152885278,+
cat__consultante_localidad_tigre,-0.09250992147983171,0.09250992147983171,-
cat__consultante_localidad_pablo nogus,0.09212430325999672,0.09212430325999672,+
cat__localidad_Pablo Nogués,0.09212430325999672,0.09212430325999672,+
cat__consultante_nacionalidad_,0.09194938618926642,0.09194938618926642,+
cat__consultante_localidad_almirante brown,-0.09135787355392916,0.09135787355392916,-
cat__localidad_Mar de las Pampas,-0.09091899716307857,0.09091899716307857,-
num__provincia_indec_id,-0.09072664316794672,0.09072664316794672,-
cat__localidad_Hurlingham,0.09069776197136858,0.09069776197136858,+
cat__localidad_Trujui,0.09050643818092655,0.09050643818092655,+
cat__consultante_localidad_trujui,0.09050643818092655,0.09050643818092655,+
cat__consultante_localidad_del viso,-0.09048737567700613,0.09048737567700613,-
cat__localidad_Pontevedra,-0.08975143170377367,0.08975143170377367,-
cat__consultante_localidad_donadeu,-0.08873623789033969,0.08873623789033969,-
cat__localidad_El Palomar,-0.08865858028345783,0.08865858028345783,-
cat__consultante_como_conocio_la_linea_Carteles via publica,0.08838129658999822,0.08838129658999822,+
cat__consultante_nacionalidad_venezolana,0.08828181045121158,0.08828181045121158,+
cat__localidad_Sierra de La Ventana,-0.08814784400000347,0.08814784400000347,-
cat__dependencia_alta_Correo Institucional,0.08788753904853791,0.08788753904853791,+
cat__consultante_localidad_carmen de patagones,0.0870731898270975,0.0870731898270975,+
cat__localidad_Carmen de Patagones,0.0870731898270975,0.0870731898270975,+
cat__consultante_localidad_san justo,0.08693526758985931,0.08693526758985931,+
cat__consultante_localidad_lans,0.0868908294062237,0.0868908294062237,+
cat__consultante_localidad_pergamino,0.08665960962859792,0.08665960962859792,+
cat__localidad_Chimba,0.08585597979437454,0.08585597979437454,+
cat__localidad_Alta Gracia,-0.08453530110588635,0.08453530110588635,-
cat__localidad_Lavalle,-0.08446666149358757,0.08446666149358757,-
cat__consultante_provincia_formosa,-0.0842044865825603,0.0842044865825603,-
cat__provincia_Chubut,0.08407643892581929,0.08407643892581929,+
cat__consultante_localidad_las colonias,0.08406210230934921,0.08406210230934921,+
cat__localidad_Las Colonias,0.08406210230934921,0.08406210230934921,+
cat__localidad_Godoy Cruz,-0.08397347978332255,0.08397347978332255,-
cat__localidad_Remedios de Escalada,-0.08383880369588669,0.08383880369588669,-
cat__localidad_San Francisco,-0.08372049672593755,0.08372049672593755,-
cat__provincia_Santa Cruz,0.08355608597836962,0.08355608597836962,+
cat__consultante_localidad_ingeniero budge,0.08346915235460842,0.08346915235460842,+
cat__localidad_Ingeniero Budge,0.08346915235460842,0.08346915235460842,+
cat__localidad_Termas de Río Hondo,-0.08341375140251078,0.08341375140251078,-
cat__localidad_Garupa,-0.08310352019837343,0.08310352019837343,-
cat__consultante_localidad_lavalle,-0.08274024788682842,0.08274024788682842,-
cat__localidad_lavalle,-0.08274024788682842,0.08274024788682842,-
cat__localidad_Mocoretá,-0.08272332656628613,0.08272332656628613,-
